"gameID","home","away","OT","SO"
202,"Florida Panthers","San Jose Sharks",0,0
203,"Nashville Predators","St. Louis Blues",0,0
204,"Calgary Flames","Dallas Stars",0,0
205,"Arizona Coyotes","Winnipeg Jets",0,0
206,"Buffalo Sabres","New Jersey Devils",1,0
207,"Toronto Maple Leafs","Philadelphia Flyers",0,0
208,"Ottawa Senators","Los Angeles Kings",0,0
209,"Chicago Blackhawks","Washington Capitals",1,0
210,"Colorado Avalanche","Winnipeg Jets",1,0
211,"Edmonton Oilers","Dallas Stars",0,0
212,"Montréal Canadiens","Detroit Red Wings",0,0
213,"Tampa Bay Lightning","San Jose Sharks",0,0
214,"Florida Panthers","New York Islanders",1,0
215,"New Jersey Devils","Buffalo Sabres",0,0
216,"Philadelphia Flyers","Minnesota Wild",0,0
217,"Pittsburgh Penguins","Toronto Maple Leafs",0,0
218,"Carolina Hurricanes","Washington Capitals",0,0
219,"Columbus Blue Jackets","St. Louis Blues",0,0
220,"Nashville Predators","Anaheim Ducks",0,0
221,"Arizona Coyotes","Boston Bruins",0,0
222,"Calgary Flames","New York Rangers",0,0
223,"Winnipeg Jets","Los Angeles Kings",1,1
224,"Vancouver Canucks","Dallas Stars",1,0
225,"Ottawa Senators","Minnesota Wild",1,0
226,"Chicago Blackhawks","Montréal Canadiens",0,0
227,"Colorado Avalanche","Boston Bruins",0,0
228,"Edmonton Oilers","New York Rangers",0,0
229,"New York Islanders","Tampa Bay Lightning",0,0
230,"Philadelphia Flyers","Ottawa Senators",1,1
231,"Carolina Hurricanes","San Jose Sharks",0,0
232,"Columbus Blue Jackets","Washington Capitals",1,0
233,"Toronto Maple Leafs","Nashville Predators",0,0
234,"Montréal Canadiens","Florida Panthers",1,0
235,"Detroit Red Wings","Tampa Bay Lightning",0,0
236,"St. Louis Blues","Buffalo Sabres",0,0
237,"Minnesota Wild","Calgary Flames",0,0
238,"Winnipeg Jets","Chicago Blackhawks",0,0
239,"Dallas Stars","New Jersey Devils",1,0
240,"Colorado Avalanche","Los Angeles Kings",0,0
241,"Vancouver Canucks","New York Rangers",0,0
242,"Anaheim Ducks","Edmonton Oilers",0,0
243,"Washington Capitals","Pittsburgh Penguins",0,0
244,"Calgary Flames","Arizona Coyotes",1,0
245,"Buffalo Sabres","Tampa Bay Lightning",0,0
246,"Philadelphia Flyers","Winnipeg Jets",0,0
247,"Toronto Maple Leafs","Florida Panthers",0,0
248,"Ottawa Senators","Nashville Predators",0,0
249,"St. Louis Blues","San Jose Sharks",0,0
250,"Minnesota Wild","Boston Bruins",0,0
251,"Dallas Stars","Colorado Avalanche",0,0
252,"Vancouver Canucks","Arizona Coyotes",1,0
253,"Anaheim Ducks","New Jersey Devils",0,0
254,"Los Angeles Kings","Edmonton Oilers",0,0
255,"New York Islanders","Pittsburgh Penguins",1,0
256,"Washington Capitals","Detroit Red Wings",0,0
257,"Columbus Blue Jackets","New York Rangers",0,0
258,"Carolina Hurricanes","Montréal Canadiens",0,0
259,"Calgary Flames","Chicago Blackhawks",0,0
260,"Philadelphia Flyers","Tampa Bay Lightning",0,0
261,"Los Angeles Kings","New Jersey Devils",0,0
262,"Boston Bruins","Winnipeg Jets",0,0
263,"Buffalo Sabres","Pittsburgh Penguins",1,1
264,"Montréal Canadiens","Toronto Maple Leafs",0,0
265,"Ottawa Senators","Florida Panthers",0,0
266,"Dallas Stars","Edmonton Oilers",0,0
267,"St. Louis Blues","Nashville Predators",0,0
268,"Minnesota Wild","Colorado Avalanche",0,0
269,"Arizona Coyotes","San Jose Sharks",1,0
270,"Vancouver Canucks","Chicago Blackhawks",1,0
271,"Washington Capitals","Columbus Blue Jackets",0,0
272,"New York Rangers","Florida Panthers",1,1
273,"Carolina Hurricanes","Winnipeg Jets",0,0
274,"Detroit Red Wings","Calgary Flames",0,0
275,"Anaheim Ducks","Los Angeles Kings",0,0
276,"Buffalo Sabres","Calgary Flames",0,0
277,"Pittsburgh Penguins","New York Rangers",0,0
278,"Columbus Blue Jackets","Colorado Avalanche",1,0
279,"Nashville Predators","Tampa Bay Lightning",0,0
280,"Dallas Stars","Minnesota Wild",1,0
281,"Edmonton Oilers","Chicago Blackhawks",0,0
282,"San Jose Sharks","New Jersey Devils",0,0
283,"Boston Bruins","St. Louis Blues",0,0
284,"Toronto Maple Leafs","Carolina Hurricanes",0,0
285,"Montréal Canadiens","Ottawa Senators",0,0
286,"Florida Panthers","Philadelphia Flyers",0,0
287,"Anaheim Ducks","New York Islanders",1,1
